"""Country or Area"",""Year"",""Value"",""Value Footnotes"",""Unit"""
"Belgium,""2008"",""2200008.0"","""",""tonnes"""
"Belgium,""2006"",""1760728.0"","""",""tonnes"""
"Belgium,""2004"",""3310427.0"","""",""tonnes"""
"Belize,""2000"",""775.0"",""2"",""tonnes"""
"Belize,""1999"",""691.0"",""2"",""tonnes"""
"Bermuda,""2019"",""1698.0"","""",""tonnes"""
"Bermuda,""2018"",""1362.0"","""",""tonnes"""
"Bermuda,""2017"",""530.0"","""",""tonnes"""
"Bermuda,""2016"",""600.0"","""",""tonnes"""
"Bermuda,""2015"",""669.1"","""",""tonnes"""
"Bermuda,""2014"",""615.0"","""",""tonnes"""
"Bermuda,""2013"",""543.0"","""",""tonnes"""
"Bermuda,""2012"",""576.0"","""",""tonnes"""
"Bermuda,""2011"",""601.0"","""",""tonnes"""
"Bermuda,""2010"",""585.0"","""",""tonnes"""
"Bhutan,""2019"",""358.6"","""",""tonnes"""
"Bhutan,""2017"",""428.0"","""",""tonnes"""
"Botswana,""2017"",""1061.5"","""",""tonnes"""
"Botswana,""2015"",""719.2"","""",""tonnes"""
"Botswana,""2013"",""386.7"","""",""tonnes"""
"Bulgaria,""2016"",""13177710.0"","""",""tonnes"""
"Bulgaria,""2014"",""12176438.0"","""",""tonnes"""
"Bulgaria,""2012"",""13389620.0"","""",""tonnes"""
"Bulgaria,""2010"",""13561160.0"","""",""tonnes"""
"Bulgaria,""2008"",""13037033.0"","""",""tonnes"""
"Bulgaria,""2006"",""13474505.0"","""",""tonnes"""
"Bulgaria,""2004"",""12090994.0"","""",""tonnes"""
"Burkina Faso,""2010"",""11.2"","""",""tonnes"""
"Burkina Faso,""2009"",""8.9"","""",""tonnes"""
"Cameroon,""2009"",""8716.6"","""",""tonnes"""
"Cameroon,""2008"",""9383.3"","""",""tonnes"""
"Cameroon,""2007"",""8296.1"","""",""tonnes"""
"Cameroon,""2006"",""10343.9"","""",""tonnes"""
"Cameroon,""2005"",""9429.8"","""",""tonnes"""
"Cameroon,""2004"",""5715.5"","""",""tonnes"""
"China,""2020"",""76304800.0"","""",""tonnes"""
"China,""2019"",""75393000.0"","""",""tonnes"""
"China,""2018"",""67885000.0"","""",""tonnes"""
"China,""2017"",""59727000.0"","""",""tonnes"""
"China,""2016"",""43172000.0"","""",""tonnes"""
"China,""2015"",""32237000.0"","""",""tonnes"""
"China,""2014"",""29908200.0"","""",""tonnes"""
"China,""2013"",""24012900.0"","""",""tonnes"""
"China,""2012"",""27028500.0"","""",""tonnes"""
"China,""2011"",""26895300.0"","""",""tonnes"""
"China,""2010"",""14895000.0"","""",""tonnes"""
"China,""2009"",""12590000.0"","""",""tonnes"""
"China,""2008"",""12080000.0"","""",""tonnes"""
"China,""2007"",""9960000.0"","""",""tonnes"""
"China,""2006"",""8550000.0"","""",""tonnes"""
"China,""2005"",""8350000.0"","""",""tonnes"""
"China,""2004"",""6780000.0"","""",""tonnes"""
"China,""2003"",""8020000.0"","""",""tonnes"""
"China,""2002"",""6330000.0"","""",""tonnes"""
"China,""2001"",""6710000.0"","""",""tonnes"""
"China,""2000"",""5870000.0"","""",""tonnes"""
"China,""1999"",""9890000.0"","""",""tonnes"""
"China,""1998"",""9282000.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2015"",""31699.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2014"",""30318.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2013"",""30772.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2012"",""31981.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2011"",""34409.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2010"",""39404.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2009"",""53459.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2008"",""55899.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2007"",""59574.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2006"",""57973.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2005"",""46357.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2004"",""47318.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2003"",""58968.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2002"",""63848.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2001"",""76998.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""2000"",""91261.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""1999"",""71705.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""1998"",""88458.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""1997"",""79327.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""1996"",""79405.0"","""",""tonnes"""
"China, Hong Kong Special Administrative Region,""1995"",""97066.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2017"",""19798.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2016"",""21129.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2015"",""23668.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2014"",""20157.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2013"",""17252.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2012"",""17683.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2011"",""17573.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2010"",""12419.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2009"",""11705.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2008"",""8826.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2007"",""6369.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2006"",""6499.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2005"",""5929.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2004"",""5870.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2003"",""5924.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2002"",""5249.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2001"",""4545.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""2000"",""4188.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""1999"",""3905.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""1998"",""3854.0"","""",""tonnes"""
"China, Macao Special Administrative Region,""1997"",""4179.0"","""",""tonnes"""
"Croatia,""2016"",""75892.0"","""",""tonnes"""
"Croatia,""2014"",""66055.0"","""",""tonnes"""
"Croatia,""2012"",""73404.0"","""",""tonnes"""
"Croatia,""2010"",""68554.0"","""",""tonnes"""
"Croatia,""2008"",""18364.0"","""",""tonnes"""
"Croatia,""2006"",""623383.0"","""",""tonnes"""
"Croatia,""2004"",""42636.0"","""",""tonnes"""
"Cuba,""2019"",""261835.0"","""",""tonnes"""
"Cuba,""2018"",""385607.0"","""",""tonnes"""
"Cuba,""2017"",""76194.0"","""",""tonnes"""
"Cuba,""2016"",""106136.0"","""",""tonnes"""
"Cuba,""2015"",""272285.0"","""",""tonnes"""
"Cuba,""2014"",""345665.0"","""",""tonnes"""
"Cuba,""2013"",""467293.0"","""",""tonnes"""
"Cuba,""2012"",""537508.0"","""",""tonnes"""
"Cuba,""2011"",""230469.0"","""",""tonnes"""
"Cuba,""2010"",""488662.0"","""",""tonnes"""
"Cyprus,""2016"",""141504.0"","""",""tonnes"""
"Cyprus,""2014"",""157243.0"","""",""tonnes"""
"Cyprus,""2012"",""13277.0"","""",""tonnes"""
"Cyprus,""2010"",""30779.0"","""",""tonnes"""
"Cyprus,""2008"",""23290.0"","""",""tonnes"""
"Cyprus,""2006"",""16651.0"","""",""tonnes"""
"Cyprus,""2004"",""65047.0"","""",""tonnes"""
"Czechia,""2016"",""529490.0"","""",""tonnes"""
"Czechia,""2014"",""597309.0"","""",""tonnes"""
"Czechia,""2012"",""753402.0"","""",""tonnes"""
"Czechia,""2010"",""831600.0"","""",""tonnes"""
"Czechia,""2008"",""834798.0"","""",""tonnes"""
"Czechia,""2006"",""572497.0"","""",""tonnes"""
"Czechia,""2004"",""648497.0"","""",""tonnes"""
"Denmark,""2016"",""1884932.0"","""",""tonnes"""
"Denmark,""2014"",""1546812.0"","""",""tonnes"""
"Denmark,""2012"",""1206582.0"","""",""tonnes"""
"Denmark,""2010"",""1073218.0"","""",""tonnes"""
"Denmark,""2008"",""416095.0"","""",""tonnes"""
"Denmark,""2006"",""375562.0"","""",""tonnes"""
"Denmark,""2004"",""338334.0"","""",""tonnes"""
"El Salvador,""2013"",""5.9"","""",""tonnes"""
"El Salvador,""2012"",""1.9"","""",""tonnes"""
"El Salvador,""2010"",""42.7"","""",""tonnes"""
"Estonia,""2016"",""9590378.0"","""",""tonnes"""
"Estonia,""2014"",""10315095.0"","""",""tonnes"""
"Estonia,""2012"",""9131274.0"","""",""tonnes"""
"Estonia,""2010"",""8928558.0"","""",""tonnes"""
"Estonia,""2008"",""7708801.0"","""",""tonnes"""
"Estonia,""2006"",""6864430.0"","""",""tonnes"""
"Estonia,""2004"",""7180381.0"","""",""tonnes"""
"Fiji,""2021"",""14.9"","""",""tonnes"""
"Fiji,""2020"",""15.6"","""",""tonnes"""
"Fiji,""2019"",""18.7"","""",""tonnes"""
"Fiji,""2018"",""14.2"","""",""tonnes"""
"Fiji,""2017"",""13.9"","""",""tonnes"""
"Fiji,""2016"",""11.7"","""",""tonnes"""
"Fiji,""2015"",""11.8"","""",""tonnes"""
"Fiji,""2014"",""10.8"","""",""tonnes"""
"Fiji,""2013"",""6.6"","""",""tonnes"""
"Fiji,""2012"",""2.9"","""",""tonnes"""
"Fiji,""2011"",""3.9"","""",""tonnes"""
"Fiji,""2010"",""3.5"","""",""tonnes"""
"Fiji,""2009"",""3.7"","""",""tonnes"""
"Fiji,""2008"",""3.3"","""",""tonnes"""
"Fiji,""2007"",""3.0"","""",""tonnes"""
"Fiji,""2006"",""3.9"","""",""tonnes"""
"Finland,""2016"",""2003904.0"","""",""tonnes"""
"Finland,""2014"",""1915719.0"","""",""tonnes"""
"Finland,""2012"",""1411308.0"","""",""tonnes"""
"Finland,""2010"",""1365767.0"","""",""tonnes"""
"Finland,""2008"",""2178038.0"","""",""tonnes"""
"Finland,""2006"",""2172452.0"","""",""tonnes"""
"Finland,""2004"",""2229060.0"","""",""tonnes"""
"France,""2016"",""7165230.0"","""",""tonnes"""
"France,""2014"",""7605065.0"","""",""tonnes"""
"France,""2012"",""8841003.0"","""",""tonnes"""
"France,""2010"",""8533645.0"","""",""tonnes"""
"France,""2008"",""6853136.0"","""",""tonnes"""
"France,""2006"",""6689820.0"","""",""tonnes"""
"France,""2004"",""6772000.0"","""",""tonnes"""
"French Guiana,""2020"",""2100.0"","""",""tonnes"""
"French Guiana,""2019"",""2050.0"","""",""tonnes"""
"French Guiana,""2018"",""2018.0"","""",""tonnes"""
"French Guiana,""2017"",""281.0"","""",""tonnes"""
"French Guiana,""2014"",""1682.0"","""",""tonnes"""
"French Guiana,""2013"",""1291.0"","""",""tonnes"""
"French Guiana,""2008"",""111.0"",""3"",""tonnes"""
"French Guiana,""2007"",""76.0"",""3"",""tonnes"""
"Germany,""2016"",""21499052.0"","""",""tonnes"""
"Germany,""2014"",""20521108.0"","""",""tonnes"""
"Germany,""2012"",""21098396.0"","""",""tonnes"""
"Germany,""2010"",""19046940.0"","""",""tonnes"""
"Germany,""2008"",""23823844.0"","""",""tonnes"""
"Germany,""2006"",""21743228.0"","""",""tonnes"""
"Germany,""2004"",""20556732.0"","""",""tonnes"""
"Greece,""2014"",""115015.0"","""",""tonnes"""
"Greece,""2012"",""108104.0"","""",""tonnes"""
"Greece,""2010"",""108202.0"","""",""tonnes"""
"Greece,""2008"",""157014.0"","""",""tonnes"""
"Greece,""2006"",""186785.0"","""",""tonnes"""
"Greece,""2004"",""292650.0"","""",""tonnes"""
"Guadeloupe,""2020"",""21769.0"","""",""tonnes"""
"Guadeloupe,""2019"",""23374.0"","""",""tonnes"""
"Guadeloupe,""2018"",""20792.0"","""",""tonnes"""
"Guadeloupe,""2017"",""16255.0"","""",""tonnes"""
"Guadeloupe,""2016"",""17233.0"","""",""tonnes"""
"Guadeloupe,""2015"",""13917.0"","""",""tonnes"""
"Guadeloupe,""2014"",""17603.0"","""",""tonnes"""
"Guadeloupe,""2013"",""15804.0"","""",""tonnes"""
"Guadeloupe,""2008"",""9048.0"",""3"",""tonnes"""
"Guadeloupe,""2007"",""4385.0"",""3"",""tonnes"""
"Guatemala,""2017"",""12363.6"","""",""tonnes"""
"Guatemala,""2016"",""4883.6"","""",""tonnes"""
"Guatemala,""2015"",""1366.5"","""",""tonnes"""
"Guatemala,""2014"",""20363.6"","""",""tonnes"""
"Guatemala,""2013"",""10276.1"","""",""tonnes"""
"Guatemala,""2012"",""6324.9"","""",""tonnes"""
"Guatemala,""2011"",""10204.0"","""",""tonnes"""
"Guatemala,""2010"",""304970.0"","""",""tonnes"""
"Guatemala,""2009"",""3600.0"","""",""tonnes"""
"Guatemala,""2008"",""917.0"","""",""tonnes"""
"Guatemala,""2007"",""846.0"","""",""tonnes"""
"Guatemala,""2006"",""709.0"","""",""tonnes"""
"Guatemala,""2005"",""732.0"","""",""tonnes"""
"Guatemala,""2004"",""833.0"","""",""tonnes"""
"Guatemala,""2003"",""376.0"","""",""tonnes"""
"Guatemala,""2002"",""0.0"","""",""tonnes"""
"Guatemala,""2001"",""0.0"","""",""tonnes"""
"Hungary,""2016"",""341660.0"","""",""tonnes"""
"Hungary,""2014"",""372580.0"","""",""tonnes"""
"Hungary,""2012"",""376810.0"","""",""tonnes"""
"Hungary,""2010"",""373999.0"","""",""tonnes"""
"Hungary,""2008"",""449610.0"","""",""tonnes"""
"Hungary,""2006"",""1179859.0"","""",""tonnes"""
"Hungary,""2004"",""325032.0"","""",""tonnes"""
"Iceland,""2016"",""47852.0"","""",""tonnes"""
"Iceland,""2014"",""36250.0"","""",""tonnes"""
"Iceland,""2012"",""11639.0"","""",""tonnes"""
"Iceland,""2010"",""7927.0"","""",""tonnes"""
"Iceland,""2008"",""135100.0"","""",""tonnes"""
"Iceland,""2004"",""11000.0"","""",""tonnes"""
"India,""2019"",""8181049.0"","""",""tonnes"""
"India,""2018"",""6941838.9"","""",""tonnes"""
"India,""2017"",""7174779.0"","""",""tonnes"""
"India,""2016"",""4649177.3"","""",""tonnes"""
"Iraq,""2015"",""20622.0"","""",""tonnes"""
"Iraq,""2010"",""15546.0"","""",""tonnes"""
"Ireland,""2016"",""78411.0"","""",""tonnes"""
"Ireland,""2014"",""86518.0"","""",""tonnes"""
"Ireland,""2012"",""69111.0"","""",""tonnes"""
"Ireland,""2010"",""266742.0"","""",""tonnes"""
"Ireland,""2008"",""192782.0"","""",""tonnes"""
"Ireland,""2006"",""190951.0"","""",""tonnes"""
"Ireland,""2004"",""122734.0"","""",""tonnes"""
"Italy,""2016"",""3648542.0"","""",""tonnes"""
"Italy,""2014"",""3574305.0"","""",""tonnes"""
"Italy,""2012"",""3258267.0"","""",""tonnes"""
"Italy,""2010"",""3106766.0"","""",""tonnes"""
"Italy,""2008"",""3277345.0"","""",""tonnes"""
"Italy,""2006"",""2926159.0"","""",""tonnes"""
"Italy,""2004"",""2885110.0"","""",""tonnes"""
"Jamaica,""2006"",""8435.0"","""",""tonnes"""
"Jamaica,""2005"",""10000.0"","""",""tonnes"""
"Jamaica,""2004"",""10000.0"","""",""tonnes"""
"Jamaica,""2003"",""10000.0"","""",""tonnes"""
"Jamaica,""2002"",""10000.0"","""",""tonnes"""
"Jamaica,""2001"",""10000.0"","""",""tonnes"""
"Jamaica,""2000"",""10000.0"","""",""tonnes"""
"Jamaica,""1999"",""10000.0"","""",""tonnes"""
"Jamaica,""1998"",""10000.0"","""",""tonnes"""
"Jamaica,""1997"",""10000.0"","""",""tonnes"""
"Jamaica,""1996"",""10000.0"","""",""tonnes"""
"Jordan,""2021"",""51900.0"","""",""tonnes"""
"Jordan,""2020"",""41000.0"","""",""tonnes"""
"Jordan,""2019"",""37000.0"","""",""tonnes"""
"Jordan,""2018"",""33475.0"","""",""tonnes"""
"Jordan,""2017"",""29955.0"","""",""tonnes"""
"Jordan,""2016"",""27000.0"","""",""tonnes"""
"Jordan,""2014"",""48852.0"","""",""tonnes"""
"Jordan,""2013"",""1258978.0"","""",""tonnes"""
"Jordan,""2011"",""1230440.6"","""",""tonnes"""
"Jordan,""2010"",""61962.1"","""",""tonnes"""
"Jordan,""2009"",""108403.4"","""",""tonnes"""
"Jordan,""2008"",""1293804.4"","""",""tonnes"""
"Jordan,""2006"",""16120.1"","""",""tonnes"""
"Jordan,""2005"",""48623.8"","""",""tonnes"""
"Jordan,""2004"",""33431.9"","""",""tonnes"""
"Jordan,""2003"",""73616.7"","""",""tonnes"""
"Kazakhstan,""2021"",""38142483.9"","""",""tonnes"""
"Kazakhstan,""2020"",""162431705.4"","""",""tonnes"""
"Kazakhstan,""2019"",""370582784.0"","""",""tonnes"""
"Kazakhstan,""2018"",""536541792.0"","""",""tonnes"""
"Kazakhstan,""2017"",""399558016.0"","""",""tonnes"""
"Kazakhstan,""2016"",""53210292.0"","""",""tonnes"""
"Kazakhstan,""2015"",""86369280.0"","""",""tonnes"""
"Kazakhstan,""2014"",""131607696.0"","""",""tonnes"""
"Kazakhstan,""2013"",""175721440.0"","""",""tonnes"""
"Kazakhstan,""2012"",""126843584.0"","""",""tonnes"""
"Kazakhstan,""2011"",""108102072.0"","""",""tonnes"""
"Kazakhstan,""2010"",""85282656.0"","""",""tonnes"""
"Kazakhstan,""2009"",""106067768.0"","""",""tonnes"""
"Kazakhstan,""2008"",""369855040.0"","""",""tonnes"""
"Kazakhstan,""2007"",""283727872.0"","""",""tonnes"""
"Kazakhstan,""2006"",""60856496.0"","""",""tonnes"""
"Kazakhstan,""2005"",""17450440.0"","""",""tonnes"""
"Kazakhstan,""2004"",""28404118.0"","""",""tonnes"""
"Kenya,""2017"",""38120.4"","""",""tonnes"""
"Kuwait,""2021"",""10824871.8"","""",""tonnes"""
"Kuwait,""2020"",""10752945.0"","""",""tonnes"""
"Kuwait,""2019"",""6713332.0"","""",""tonnes"""
"Kuwait,""2018"",""7091863.4"","""",""tonnes"""
"Kuwait,""2017"",""5089201.5"","""",""tonnes"""
"Kuwait,""2016"",""3967702.5"","""",""tonnes"""
"Kuwait,""2015"",""2997896.0"","""",""tonnes"""
"Kuwait,""2014"",""3619475.0"","""",""tonnes"""
"Kuwait,""2013"",""3186681.0"","""",""tonnes"""
"Kuwait,""2012"",""2850061.0"","""",""tonnes"""
"Kuwait,""2011"",""40909.8"","""",""tonnes"""
"Kuwait,""2010"",""17786.1"","""",""tonnes"""
"Kuwait,""2009"",""13634.5"","""",""tonnes"""
"Kuwait,""2006"",""6000.0"","""",""tonnes"""
"Kuwait,""2005"",""6000.0"","""",""tonnes"""
"Kyrgyzstan,""2017"",""5086267.0"","""",""tonnes"""
"Kyrgyzstan,""2016"",""4058328.5"","""",""tonnes"""
"Kyrgyzstan,""2015"",""4936829.5"","""",""tonnes"""
"Kyrgyzstan,""2014"",""4983976.0"","""",""tonnes"""
"Kyrgyzstan,""2013"",""3131828.8"","""",""tonnes"""
"Kyrgyzstan,""2012"",""53942.8"","""",""tonnes"""
"Kyrgyzstan,""2011"",""82317.1"","""",""tonnes"""
"Kyrgyzstan,""2010"",""187180.8"","""",""tonnes"""
"Kyrgyzstan,""2009"",""19342756.0"","""",""tonnes"""
"Kyrgyzstan,""2008"",""3006.0"","""",""tonnes"""
"Kyrgyzstan,""2007"",""7909705.0"","""",""tonnes"""
"Kyrgyzstan,""2006"",""1258.0"","""",""tonnes"""
"Kyrgyzstan,""2005"",""1555.0"","""",""tonnes"""
"Kyrgyzstan,""2004"",""307.0"","""",""tonnes"""
"Kyrgyzstan,""2003"",""5327.0"","""",""tonnes"""
"Kyrgyzstan,""2002"",""39.0"","""",""tonnes"""
"Kyrgyzstan,""2001"",""35.0"","""",""tonnes"""
"Kyrgyzstan,""2000"",""4011426.0"","""",""tonnes"""
"Kyrgyzstan,""1999"",""275.0"","""",""tonnes"""
"Kyrgyzstan,""1998"",""32.0"","""",""tonnes"""
"Kyrgyzstan,""1997"",""1477107.0"","""",""tonnes"""
"Kyrgyzstan,""1996"",""191.0"","""",""tonnes"""
"Kyrgyzstan,""1995"",""339.0"","""",""tonnes"""
"Latvia,""2016"",""20492.0"","""",""tonnes"""
"Latvia,""2014"",""43376.0"","""",""tonnes"""
"Latvia,""2012"",""41749.0"","""",""tonnes"""
"Latvia,""2010"",""54193.0"","""",""tonnes"""
"Latvia,""2008"",""67877.0"","""",""tonnes"""
